NAME,GS<br> follow link to MSigDB,GS DETAILS,SIZE,ES,NES,NOM p-val,FDR q-val,FWER p-val,RANK AT MAX,LEADING EDGE
LEE_EARLY_T_LYMPHOCYTE_UP,LEE_EARLY_T_LYMPHOCYTE_UP,Details ...,106,0.7642615,2.0912137,0.001869159,0.25031802,0.154,2008,"tags=66%, list=10%, signal=73%"
ODONNELL_TARGETS_OF_MYC_AND_TFRC_DN,ODONNELL_TARGETS_OF_MYC_AND_TFRC_DN,Details ...,45,0.8311842,2.0850792,0,0.13696608,0.165,2917,"tags=78%, list=14%, signal=90%"
REACTOME_COPI_DEPENDENT_GOLGI_TO_ER_RETROGRADE_TRAFFIC,REACTOME_COPI_DEPENDENT_GOLGI_TO_ER_RETROGRADE_TRAFFIC,Details ...,99,0.6207972,2.0741172,0,0.11168558,0.184,3454,"tags=53%, list=17%, signal=63%"
ODONNELL_TFRC_TARGETS_DN,ODONNELL_TFRC_TARGETS_DN,Details ...,129,0.6792067,2.0482914,0.001904762,0.12551905,0.247,2953,"tags=60%, list=14%, signal=69%"
HU_GENOTOXIC_DAMAGE_4HR,HU_GENOTOXIC_DAMAGE_4HR,Details ...,36,0.75877637,2.0471058,0,0.10124308,0.248,2268,"tags=64%, list=11%, signal=72%"
DUTERTRE_ESTRADIOL_RESPONSE_24HR_UP,DUTERTRE_ESTRADIOL_RESPONSE_24HR_UP,Details ...,323,0.7271059,2.0441558,0.001855288,0.087751545,0.255,3240,"tags=67%, list=16%, signal=79%"
GRAHAM_CML_DIVIDING_VS_NORMAL_QUIESCENT_UP,GRAHAM_CML_DIVIDING_VS_NORMAL_QUIESCENT_UP,Details ...,184,0.66153854,2.0249956,0.003853565,0.10415283,0.307,2712,"tags=59%, list=13%, signal=68%"
GAVIN_FOXP3_TARGETS_CLUSTER_P6,GAVIN_FOXP3_TARGETS_CLUSTER_P6,Details ...,93,0.6557984,2.0187502,0.007490637,0.10047014,0.334,936,"tags=45%, list=5%, signal=47%"
CHEMNITZ_RESPONSE_TO_PROSTAGLANDIN_E2_UP,CHEMNITZ_RESPONSE_TO_PROSTAGLANDIN_E2_UP,Details ...,143,0.5908379,2.0146844,0.005847953,0.0961702,0.345,1915,"tags=48%, list=9%, signal=53%"
CHARAFE_BREAST_CANCER_LUMINAL_VS_BASAL_UP,CHARAFE_BREAST_CANCER_LUMINAL_VS_BASAL_UP,Details ...,374,0.6022675,2.0137093,0.001996008,0.088386044,0.351,4244,"tags=59%, list=21%, signal=73%"
LY_AGING_OLD_DN,LY_AGING_OLD_DN,Details ...,56,0.7415732,2.013262,0.001886793,0.081035495,0.353,3056,"tags=75%, list=15%, signal=88%"
WHITEFORD_PEDIATRIC_CANCER_MARKERS,WHITEFORD_PEDIATRIC_CANCER_MARKERS,Details ...,117,0.76171654,2.0099413,0.001883239,0.078516595,0.368,2036,"tags=67%, list=10%, signal=74%"
NAKAYAMA_SOFT_TISSUE_TUMORS_PCA2_UP,NAKAYAMA_SOFT_TISSUE_TUMORS_PCA2_UP,Details ...,89,0.75162673,2.0081546,0,0.0741078,0.371,2819,"tags=66%, list=14%, signal=77%"
SARRIO_EPITHELIAL_MESENCHYMAL_TRANSITION_UP,SARRIO_EPITHELIAL_MESENCHYMAL_TRANSITION_UP,Details ...,165,0.69635695,2.0056086,0,0.07144591,0.375,2755,"tags=64%, list=13%, signal=74%"
ZHOU_CELL_CYCLE_GENES_IN_IR_RESPONSE_24HR,ZHOU_CELL_CYCLE_GENES_IN_IR_RESPONSE_24HR,Details ...,127,0.7608655,2.0015273,0,0.07010694,0.387,1489,"tags=65%, list=7%, signal=70%"
CHIANG_LIVER_CANCER_SUBCLASS_PROLIFERATION_UP,CHIANG_LIVER_CANCER_SUBCLASS_PROLIFERATION_UP,Details ...,178,0.62979704,1.9974304,0.003861004,0.06917044,0.401,2391,"tags=53%, list=12%, signal=59%"
NADERI_BREAST_CANCER_PROGNOSIS_UP,NADERI_BREAST_CANCER_PROGNOSIS_UP,Details ...,50,0.740157,1.9945294,0,0.06753039,0.41,2569,"tags=66%, list=13%, signal=75%"
RHODES_UNDIFFERENTIATED_CANCER,RHODES_UNDIFFERENTIATED_CANCER,Details ...,69,0.83251446,1.9933065,0,0.06490035,0.415,2271,"tags=84%, list=11%, signal=94%"
BLUM_RESPONSE_TO_SALIRASIB_DN,BLUM_RESPONSE_TO_SALIRASIB_DN,Details ...,340,0.58624333,1.992787,0.003891051,0.061847247,0.416,3406,"tags=55%, list=17%, signal=65%"
BLANCO_MELO_BRONCHIAL_EPITHELIAL_CELLS_INFLUENZA_A_DEL_NS1_INFECTION_DN,BLANCO_MELO_BRONCHIAL_EPITHELIAL_CELLS_INFLUENZA_A_DEL_NS1_INFECTION_DN,Details ...,184,0.69840884,1.9885917,0.0056926,0.06256746,0.424,1657,"tags=58%, list=8%, signal=62%"
GREENBAUM_E2A_TARGETS_UP,GREENBAUM_E2A_TARGETS_UP,,33,0.7662799,1.9868528,0.003696858,0.06081174,0.43,2267,"tags=67%, list=11%, signal=75%"
GARGALOVIC_RESPONSE_TO_OXIDIZED_PHOSPHOLIPIDS_TURQUOISE_DN,GARGALOVIC_RESPONSE_TO_OXIDIZED_PHOSPHOLIPIDS_TURQUOISE_DN,,54,0.6867554,1.9857265,0.001941748,0.059111264,0.436,2755,"tags=57%, list=13%, signal=66%"
WEST_ADRENOCORTICAL_TUMOR_UP,WEST_ADRENOCORTICAL_TUMOR_UP,,295,0.60816425,1.9820119,0,0.059630457,0.454,2851,"tags=49%, list=14%, signal=57%"
MORI_LARGE_PRE_BII_LYMPHOCYTE_UP,MORI_LARGE_PRE_BII_LYMPHOCYTE_UP,,88,0.76155704,1.9783591,0,0.059990432,0.46,3155,"tags=74%, list=15%, signal=87%"
VECCHI_GASTRIC_CANCER_EARLY_UP,VECCHI_GASTRIC_CANCER_EARLY_UP,,425,0.5843602,1.977459,0.001934236,0.058221664,0.462,3415,"tags=53%, list=17%, signal=62%"
TARTE_PLASMA_CELL_VS_PLASMABLAST_DN,TARTE_PLASMA_CELL_VS_PLASMABLAST_DN,,307,0.5906142,1.9765006,0.001930502,0.05671346,0.467,3065,"tags=49%, list=15%, signal=57%"
BASAKI_YBX1_TARGETS_UP,BASAKI_YBX1_TARGETS_UP,,285,0.57477695,1.9740729,0.007751938,0.056637906,0.481,2788,"tags=50%, list=14%, signal=57%"
HOFFMANN_LARGE_TO_SMALL_PRE_BII_LYMPHOCYTE_UP,HOFFMANN_LARGE_TO_SMALL_PRE_BII_LYMPHOCYTE_UP,,153,0.6923127,1.9739126,0.005660377,0.054669023,0.482,2883,"tags=64%, list=14%, signal=74%"
CHARAFE_BREAST_CANCER_LUMINAL_VS_MESENCHYMAL_UP,CHARAFE_BREAST_CANCER_LUMINAL_VS_MESENCHYMAL_UP,,443,0.6243638,1.9687067,0.003960396,0.05614476,0.499,4231,"tags=62%, list=21%, signal=76%"
FOURNIER_ACINAR_DEVELOPMENT_LATE_2,FOURNIER_ACINAR_DEVELOPMENT_LATE_2,,281,0.5865386,1.9679567,0.00189394,0.054708093,0.501,3723,"tags=54%, list=18%, signal=66%"
MORI_IMMATURE_B_LYMPHOCYTE_DN,MORI_IMMATURE_B_LYMPHOCYTE_DN,,91,0.7469943,1.9666266,0.001901141,0.05380316,0.506,3155,"tags=74%, list=15%, signal=87%"
FRASOR_RESPONSE_TO_SERM_OR_FULVESTRANT_DN,FRASOR_RESPONSE_TO_SERM_OR_FULVESTRANT_DN,,49,0.72980833,1.9658108,0.005703422,0.052602805,0.508,2046,"tags=63%, list=10%, signal=70%"
FERREIRA_EWINGS_SARCOMA_UNSTABLE_VS_STABLE_UP,FERREIRA_EWINGS_SARCOMA_UNSTABLE_VS_STABLE_UP,,163,0.61322343,1.9653279,0.00744879,0.051557913,0.512,2755,"tags=52%, list=13%, signal=60%"
SHEDDEN_LUNG_CANCER_POOR_SURVIVAL_A6,SHEDDEN_LUNG_CANCER_POOR_SURVIVAL_A6,,453,0.6376911,1.9597179,0.001901141,0.05391467,0.528,4661,"tags=66%, list=23%, signal=83%"
MORI_PRE_BI_LYMPHOCYTE_UP,MORI_PRE_BI_LYMPHOCYTE_UP,,80,0.6616639,1.9567665,0.001937985,0.054646477,0.535,2267,"tags=56%, list=11%, signal=63%"
REACTOME_G2_M_CHECKPOINTS,REACTOME_G2_M_CHECKPOINTS,,165,0.65423834,1.9531211,0.003831418,0.055961445,0.555,3944,"tags=65%, list=19%, signal=80%"
ZHOU_CELL_CYCLE_GENES_IN_IR_RESPONSE_6HR,ZHOU_CELL_CYCLE_GENES_IN_IR_RESPONSE_6HR,,84,0.7898159,1.9507844,0.001879699,0.05617964,0.569,2128,"tags=74%, list=10%, signal=82%"
REACTOME_KINESINS,REACTOME_KINESINS,,60,0.5723645,1.9460665,0.003780718,0.058349337,0.582,3454,"tags=47%, list=17%, signal=56%"
MARKEY_RB1_ACUTE_LOF_UP,MARKEY_RB1_ACUTE_LOF_UP,,235,0.5740147,1.941868,0.007751938,0.06031679,0.6,2204,"tags=46%, list=11%, signal=50%"
MANALO_HYPOXIA_DN,MANALO_HYPOXIA_DN,,292,0.63345385,1.9399738,0,0.060132865,0.608,3311,"tags=55%, list=16%, signal=65%"
KOBAYASHI_EGFR_SIGNALING_24HR_DN,KOBAYASHI_EGFR_SIGNALING_24HR_DN,,253,0.68371516,1.9347169,0.013108614,0.062760495,0.628,2755,"tags=65%, list=13%, signal=74%"
FURUKAWA_DUSP6_TARGETS_PCI35_DN,FURUKAWA_DUSP6_TARGETS_PCI35_DN,,71,0.6457188,1.9339714,0.011494253,0.06173461,0.63,2373,"tags=58%, list=12%, signal=65%"
ELVIDGE_HYPOXIA_DN,ELVIDGE_HYPOXIA_DN,,146,0.54330015,1.9333686,0,0.06089112,0.632,3325,"tags=49%, list=16%, signal=58%"
WINNEPENNINCKX_MELANOMA_METASTASIS_UP,WINNEPENNINCKX_MELANOMA_METASTASIS_UP,,162,0.69931763,1.9323646,0.007692308,0.06019197,0.637,2072,"tags=58%, list=10%, signal=64%"
REACTOME_RHO_GTPASES_ACTIVATE_FORMINS,REACTOME_RHO_GTPASES_ACTIVATE_FORMINS,,139,0.56830305,1.9303678,0.005671077,0.060696334,0.646,2554,"tags=46%, list=12%, signal=52%"
BENPORATH_PROLIFERATION,BENPORATH_PROLIFERATION,,147,0.736034,1.9296601,0.003780718,0.059777044,0.647,2377,"tags=66%, list=12%, signal=74%"
WHITFIELD_CELL_CYCLE_G2_M,WHITFIELD_CELL_CYCLE_G2_M,,198,0.49420887,1.928261,0.009328358,0.05954716,0.65,2147,"tags=39%, list=10%, signal=43%"
REACTOME_DNA_REPLICATION,REACTOME_DNA_REPLICATION,,183,0.6600124,1.9259365,0.005791506,0.06018473,0.663,5130,"tags=75%, list=25%, signal=99%"
TURASHVILI_BREAST_DUCTAL_CARCINOMA_VS_DUCTAL_NORMAL_UP,TURASHVILI_BREAST_DUCTAL_CARCINOMA_VS_DUCTAL_NORMAL_UP,,46,0.734086,1.9227315,0,0.06146441,0.68,2695,"tags=61%, list=13%, signal=70%"
GRAHAM_NORMAL_QUIESCENT_VS_NORMAL_DIVIDING_DN,GRAHAM_NORMAL_QUIESCENT_VS_NORMAL_DIVIDING_DN,,89,0.74473053,1.9214009,0.009310987,0.06101914,0.684,2712,"tags=71%, list=13%, signal=81%"
ROSTY_CERVICAL_CANCER_PROLIFERATION_CLUSTER,ROSTY_CERVICAL_CANCER_PROLIFERATION_CLUSTER,,140,0.8417284,1.9206171,0,0.060380407,0.684,2313,"tags=86%, list=11%, signal=96%"
KONG_E2F3_TARGETS,KONG_E2F3_TARGETS,,99,0.76846594,1.9203483,0.007633588,0.059507728,0.686,2949,"tags=73%, list=14%, signal=85%"
WU_APOPTOSIS_BY_CDKN1A_VIA_TP53,WU_APOPTOSIS_BY_CDKN1A_VIA_TP53,,52,0.75573575,1.9194316,0.005576208,0.059015475,0.686,1620,"tags=65%, list=8%, signal=71%"
FISCHER_G2_M_CELL_CYCLE,FISCHER_G2_M_CELL_CYCLE,,236,0.6375669,1.9187949,0.009708738,0.058369566,0.689,2455,"tags=53%, list=12%, signal=60%"
REACTOME_CELL_CYCLE_CHECKPOINTS,REACTOME_CELL_CYCLE_CHECKPOINTS,,289,0.61674565,1.917689,0.005825243,0.058044888,0.691,3539,"tags=57%, list=17%, signal=68%"
WHITFIELD_CELL_CYCLE_G2,WHITFIELD_CELL_CYCLE_G2,,168,0.5226394,1.9142488,0.007692308,0.059425846,0.696,2966,"tags=47%, list=14%, signal=55%"
BURTON_ADIPOGENESIS_3,BURTON_ADIPOGENESIS_3,,100,0.69888407,1.9139032,0.007462686,0.058571182,0.698,2281,"tags=67%, list=11%, signal=75%"
YU_MYC_TARGETS_UP,YU_MYC_TARGETS_UP,,43,0.7602686,1.9136466,0.005791506,0.05769405,0.699,2450,"tags=72%, list=12%, signal=82%"
CROONQUIST_NRAS_SIGNALING_DN,CROONQUIST_NRAS_SIGNALING_DN,,70,0.80740064,1.9123633,0.001915709,0.05745644,0.703,2712,"tags=81%, list=13%, signal=94%"
BURTON_ADIPOGENESIS_PEAK_AT_24HR,BURTON_ADIPOGENESIS_PEAK_AT_24HR,,44,0.75811356,1.9073015,0.001956947,0.06017514,0.725,1010,"tags=61%, list=5%, signal=64%"
REACTOME_HOST_INTERACTIONS_OF_HIV_FACTORS,REACTOME_HOST_INTERACTIONS_OF_HIV_FACTORS,,131,0.59776056,1.9071956,0.003861004,0.05930184,0.726,5165,"tags=66%, list=25%, signal=88%"
REACTOME_HOMOLOGY_DIRECTED_REPAIR,REACTOME_HOMOLOGY_DIRECTED_REPAIR,,135,0.62939674,1.9065151,0.001956947,0.058764566,0.727,3815,"tags=62%, list=19%, signal=76%"
REACTOME_DNA_DOUBLE_STRAND_BREAK_REPAIR,REACTOME_DNA_DOUBLE_STRAND_BREAK_REPAIR,,165,0.59916824,1.9057896,0.001968504,0.058292843,0.728,3815,"tags=58%, list=19%, signal=70%"
